,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country
0,Ushuaia,-54.8,-68.3,41.0,75,75,26.4,AR
1,Novosheshminsk,55.07,51.23,31.6,85,60,7.87,RU
2,Anloga,5.79,0.9,80.6,88,20,3.36,GH
3,Arraial do Cabo,-22.97,-42.03,74.1,68,14,6.6,BR
4,Okakarara,-20.58,17.43,57.99,34,0,5.73,NA
5,Port Elizabeth,-33.92,25.57,59.0,93,100,2.24,ZA
6,Hasaki,35.73,140.83,59.36,54,75,8.05,JP
7,Narsaq,60.92,-46.05,39.2,82,98,4.7,GL
8,Kaeo,-35.1,173.78,71.02,63,5,10.0,NZ
9,Rikitea,-23.12,-134.97,76.01,77,24,12.17,PF
10,Punta Arenas,-53.15,-70.92,41.0,65,40,8.05,CL
11,Bredasdorp,-34.53,20.04,48.2,87,96,2.24,ZA
12,Vaini,-21.2,-175.2,80.6,88,75,6.93,TO
13,São João da Barra,-21.64,-41.05,71.06,74,2,2.95,BR
14,Albany,42.6,-73.97,42.37,45,75,8.05,US
15,Linden,6.0,-58.3,77.0,88,40,6.93,GY
16,Mahon,39.89,4.27,53.6,93,6,5.82,ES
17,Tasiilaq,65.61,-37.64,35.6,95,28,6.93,GL
18,Severo-Kuril'sk,50.68,156.12,33.73,92,100,7.43,RU
19,Saint Paul Harbor,57.79,-152.41,42.8,87,90,9.17,US
20,Puerto Ayora,-0.74,-90.35,79.0,85,94,7.0,EC
21,Canoinhas,-26.18,-50.39,52.83,76,2,1.9,BR
22,Bintulu,3.17,113.03,80.29,88,75,3.36,MY
23,Barrow,71.29,-156.79,21.2,85,90,5.82,US
24,Presidencia Roque Sáenz Peña,-26.79,-60.44,70.59,51,0,7.38,AR
25,Mataura,-46.19,168.86,61.0,61,73,8.99,NZ
26,Kahului,20.89,-156.47,76.96,54,40,20.8,US
27,Samaná,19.21,-69.34,77.18,86,2,10.11,DO
28,Hilo,19.73,-155.09,75.54,57,1,9.17,US
29,Gorlice,49.66,21.16,42.01,78,34,1.01,PL
30,Torbay,47.67,-52.73,32.31,94,75,13.87,CA
31,Tocopilla,-22.09,-70.2,69.85,38,16,3.83,CL
32,Namatanai,-3.67,152.43,80.26,80,97,9.95,PG
33,Najrān,17.49,44.13,73.4,43,37,1.86,SA
34,Bethel,41.37,-73.41,42.4,45,90,3.36,US
35,Dikson,73.51,80.55,34.0,92,100,19.86,RU
36,Agadez,19.75,10.25,83.52,12,0,8.81,NE
37,Chokurdakh,70.63,147.92,25.74,96,0,7.96,RU
38,Saint-Philippe,-21.36,55.77,67.82,83,75,4.7,RE
39,Vestmannaeyjar,63.44,-20.27,45.01,89,33,22.21,IS
40,Batagay-Alyta,67.8,130.41,28.09,86,95,4.5,RU
41,Butaritari,3.07,172.79,83.7,76,100,15.52,KI
42,Lagoa,39.05,-27.98,59.49,82,100,7.2,PT
43,Fairview,40.81,-74.0,45.61,42,75,4.7,US
44,Norman Wells,65.28,-126.83,21.2,57,75,14.99,CA
45,Coquimbo,-29.95,-71.34,62.6,72,90,5.82,CL
46,New Norfolk,-42.78,147.06,57.85,61,99,7.0,AU
47,Paraná,-31.73,-60.52,75.0,58,98,4.0,AR
48,Caçapava,-23.1,-45.71,66.2,82,75,4.7,BR
49,Adjumani,3.38,31.79,65.98,76,76,2.28,UG
50,Hithadhoo,-0.6,73.08,84.11,73,100,8.61,MV
51,Arrondissement de Saint-Jean-de-Maurienne,45.17,6.58,45.0,74,1,1.99,FR
52,Lebu,-37.62,-73.65,55.4,88,100,15.05,CL
53,Tuktoyaktuk,69.45,-133.04,-0.4,70,20,10.29,CA
54,Neyshabur,36.21,58.8,62.1,42,21,7.49,IR
55,San Carlos,9.66,-68.58,77.83,73,97,3.71,VE
56,Khatanga,71.97,102.5,33.85,90,47,16.26,RU
57,El Asintal,14.6,-91.73,57.99,91,49,2.37,GT
58,Manado,1.49,124.85,87.8,66,20,2.24,ID
59,Pevek,69.7,170.31,25.66,88,0,4.16,RU
60,Olafsvik,64.89,-23.71,42.93,86,99,13.33,IS
61,Nampula,-15.12,39.27,69.8,94,75,9.17,MZ
62,Mahajanga,-15.72,46.32,75.2,94,20,3.36,MG
63,Kirakira,-10.45,161.92,78.94,84,100,2.06,SB
64,Jamestown,42.1,-79.24,53.6,58,90,5.82,US
65,Muisne,0.6,-80.03,77.54,86,99,9.04,EC
66,Jalu,29.03,21.55,63.09,79,0,21.9,LY
67,Busselton,-33.65,115.33,66.42,62,26,12.44,AU
68,Buala,-8.14,159.59,84.36,70,47,5.03,SB
69,Leningradskiy,69.38,178.42,23.32,93,0,4.5,RU
70,Carnarvon,-24.87,113.63,75.2,78,0,18.34,AU
71,Provideniya,64.38,-173.3,30.2,68,0,17.9,RU
72,Bluff,-46.6,168.33,61.0,61,90,8.99,NZ
73,Ancud,-41.87,-73.82,53.78,93,90,8.05,CL
74,Okhotsk,59.38,143.3,34.9,87,100,9.71,RU
75,Natal,-5.79,-35.21,77.0,94,40,3.36,BR
76,Clonakilty,51.62,-8.87,49.48,66,96,2.57,IE
77,Guérande,47.33,-2.43,55.2,87,90,2.24,FR
78,Legionowo,52.4,20.93,45.59,60,51,6.93,PL
79,Ilulissat,69.22,-51.1,28.4,92,9,2.24,GL
80,Cabo San Lucas,22.89,-109.91,77.72,31,5,13.87,MX
81,Yellowknife,62.46,-114.35,26.29,63,75,9.17,CA
82,Madison,34.73,-86.57,63.59,93,90,9.17,US
83,Gmina Jędrzejów,50.64,20.3,40.1,70,10,3.74,PL
84,Lagan,45.39,47.37,45.64,53,0,3.65,RU
